Sentence Number,Word Count,Common Word Count,Uncommon Word Count,Uncommon Length Ratio,Uncommon Common Ratio,Article Position,Uncommon Score
20,36,23,12,0.3333333333333333,0.5217391304347826,76.92307692307693,40
2,26,8,17,0.6538461538461539,2.125,7.6923076923076925,40
1,12,0,11,0.9166666666666666,11.0,3.8461538461538463,34
17,24,8,15,0.625,1.875,65.38461538461539,32
13,22,10,11,0.5,1.1,50.0,32
10,28,11,16,0.5714285714285714,1.4545454545454546,38.46153846153847,29
3,22,14,8,0.36363636363636365,0.5714285714285714,11.538461538461538,28
7,20,7,12,0.6,1.7142857142857142,26.923076923076923,26
0,19,8,9,0.47368421052631576,1.125,0.0,26
23,27,18,8,0.2962962962962963,0.4444444444444444,88.46153846153845,23
21,33,21,10,0.30303030303030304,0.47619047619047616,80.76923076923077,23
16,29,17,11,0.3793103448275862,0.6470588235294118,61.53846153846154,23
12,15,8,6,0.4,0.75,46.15384615384615,19
11,22,7,13,0.5909090909090909,1.8571428571428572,42.30769230769231,19
25,20,15,4,0.2,0.26666666666666666,96.15384615384616,16
24,9,5,3,0.3333333333333333,0.6,92.3076923076923,13
8,22,10,11,0.5,1.1,30.76923076923077,12
22,15,7,8,0.5333333333333333,1.1428571428571428,84.61538461538461,10
9,14,5,8,0.5714285714285714,1.6,34.61538461538461,10
15,21,12,8,0.38095238095238093,0.6666666666666666,57.692307692307686,9
19,10,3,6,0.6,2.0,73.07692307692307,7
14,13,8,4,0.3076923076923077,0.5,53.84615384615385,6
4,15,8,6,0.4,0.75,15.384615384615385,6
18,8,4,3,0.375,0.75,69.23076923076923,5
5,7,2,4,0.5714285714285714,2.0,19.230769230769234,4
6,4,1,3,0.75,3.0,23.076923076923077,3
0,27,10,17,0.6296296296296297,1.7,0.0,45
6,48,20,26,0.5416666666666666,1.3,60.0,42
1,22,11,11,0.5,1.0,10.0,26
2,22,12,10,0.45454545454545453,0.8333333333333334,20.0,22
9,20,8,11,0.55,1.375,90.0,18
4,18,8,9,0.5,1.125,40.0,18
8,14,5,9,0.6428571428571429,1.8,80.0,13
7,15,8,6,0.4,0.75,70.0,10
3,15,7,7,0.4666666666666667,1.0,30.0,9
5,10,6,3,0.3,0.5,50.0,8
6,63,11,47,0.746031746031746,4.2727272727272725,37.5,172
0,22,6,16,0.7272727272727273,2.6666666666666665,0.0,49
15,23,7,15,0.6521739130434783,2.142857142857143,93.75,43
1,22,10,11,0.5,1.1,6.25,35
10,32,16,15,0.46875,0.9375,62.5,34
5,23,8,15,0.6521739130434783,1.875,31.25,33
7,31,12,18,0.5806451612903226,1.5,43.75,32
9,14,6,7,0.5,1.1666666666666667,56.25,26
4,20,11,9,0.45,0.8181818181818182,25.0,25
12,13,8,4,0.3076923076923077,0.5,75.0,22
3,16,7,9,0.5625,1.2857142857142858,18.75,20
14,24,8,15,0.625,1.875,87.5,18
13,14,5,9,0.6428571428571429,1.8,81.25,18
2,13,6,6,0.46153846153846156,1.0,12.5,15
8,17,10,6,0.35294117647058826,0.6,50.0,14
11,5,1,3,0.6,3.0,68.75,3
0,31,12,19,0.6129032258064516,1.5833333333333333,0.0,53
10,37,15,21,0.5675675675675675,1.4,58.82352941176471,42
14,20,8,12,0.6,1.5,82.35294117647058,32
13,31,13,18,0.5806451612903226,1.3846153846153846,76.47058823529412,29
5,30,15,15,0.5,1.0,29.411764705882355,29
1,20,9,11,0.55,1.2222222222222223,5.88235294117647,29
4,35,12,21,0.6,1.75,23.52941176470588,28
8,20,5,14,0.7,2.8,47.05882352941176,25
15,27,10,16,0.5925925925925926,1.6,88.23529411764706,22
3,16,7,9,0.5625,1.2857142857142858,17.647058823529413,22
11,19,8,11,0.5789473684210527,1.375,64.70588235294117,20
6,15,6,8,0.5333333333333333,1.3333333333333333,35.294117647058826,20
16,14,5,9,0.6428571428571429,1.8,94.11764705882352,16
7,20,6,13,0.65,2.1666666666666665,41.17647058823529,15
2,20,10,9,0.45,0.9,11.76470588235294,13
9,12,5,6,0.5,1.2,52.94117647058824,12
12,14,7,7,0.5,1.0,70.58823529411765,10
15,71,26,43,0.6056338028169014,1.6538461538461537,78.94736842105263,119
7,38,12,25,0.6578947368421053,2.0833333333333335,36.84210526315789,94
0,33,12,21,0.6363636363636364,1.75,0.0,79
13,51,20,30,0.5882352941176471,1.5,68.42105263157895,77
6,26,9,16,0.6153846153846154,1.7777777777777777,31.57894736842105,50
4,17,6,10,0.5882352941176471,1.6666666666666667,21.052631578947366,48
18,32,14,17,0.53125,1.2142857142857142,94.73684210526315,42
3,21,8,13,0.6190476190476191,1.625,15.789473684210526,42
16,40,17,22,0.55,1.2941176470588236,84.21052631578947,39
1,18,6,11,0.6111111111111112,1.8333333333333333,5.263157894736842,30
17,31,15,16,0.5161290322580645,1.0666666666666667,89.47368421052632,28
8,17,5,11,0.6470588235294118,2.2,42.10526315789473,28
14,13,6,7,0.5384615384615384,1.1666666666666667,73.68421052631578,26
5,15,3,11,0.7333333333333333,3.6666666666666665,26.31578947368421,20
11,7,2,4,0.5714285714285714,2.0,57.89473684210527,19
2,11,5,5,0.45454545454545453,1.0,10.526315789473683,12
10,18,8,9,0.5,1.125,52.63157894736842,11
12,16,8,7,0.4375,0.875,63.1578947368421,8
9,6,1,3,0.5,3.0,47.368421052631575,5
49,82,7,73,0.8902439024390244,10.428571428571429,98.0,304
0,27,6,20,0.7407407407407407,3.3333333333333335,0.0,68
43,46,25,20,0.43478260869565216,0.8,86.0,45
41,36,14,21,0.5833333333333334,1.5,82.0,44
6,25,11,14,0.56,1.2727272727272727,12.0,44
